"file","bytes","sha256"
"ESIN_strengthened_v1.pdf","907507","8C5AE7C7C5956DD793F05A974433A559F529E0393CB1F990B0AF6CD033204009"
"ESIN_strengthened_v1.tex","54620","DCB1A81C49DE8E60827147B1A9DC072E189F50E48F474636C38BD9681A2CF2EB"
"ESIN_supplementary_information.pdf","266828","D399A1036022B579B9E790D0B162CABA2B63529A6A7C60CC83B580A1E29504B8"
"ESIN_supplementary_information.tex","7359","A68A242618F738598704F5D91618EC23930B1BCB3292E88D1AA56EC65C86F871"
"esin_references.bib","15049","25B874AAFBA85D40E7CB14730F4879705034250A22471CC6B0976E8AA3D8FDDE"
"ESIN_strengthened_v1.bbl","22674","7DB6B97C1EFA26CF5778C353E0A0BC1ABDFCB4B3EB55C34884DFF88565FB95C8"
"ESIN_Figure_mechanism.pdf","100830","4F88F091F3229B8D252041CA6936329AB1157B411ED97E9FE84EC759B7E254B9"
"ESIN_Figure_1.pdf","124889","4C5A9647FA6ADA2BBA984E9A2215F715ED488BAB25ABCEA3890A99AE04D43049"
"ESIN_Figure_2.pdf","48893","336957433CC8B5BF79326D3DC79A7B14F069024E5043805214450C0B09E1B4E9"
"ESIN_Figure_3.pdf","48704","D6967B0F9904F27434507B7F0FEFB4DD7027D41996FD18B26E75CDF48045F820"
"ESIN_Figure_4.pdf","42600","33B93BB924C08D85E2F91913CB9A55A81CA958557CF08E0D8A7A47F0BED22A19"
"ESIN_Figure_5.pdf","47358","7F0BD5ACDDA8C5973E33AAB8DBA1C639F760B7434124EB959B976D3B89A6C47A"
"ESIN_Figure_9.pdf","109965","31DA89600A0DE3F7D972D307B9D5DEF030380F6822100B59F868F45348A897AF"
"ESIN_Figure_10.pdf","44119","6401BA9D963DFAD7AF73660789257E48A62E156B07E1B1D30F04C4C41B420614"
"ESIN_Figure_11.pdf","56609","BA508E9CA43BD02B5520FA1D6898B1B2CE4A6DA944F1F813E3A2B60EA5E03492"
"ESIN_Supplementary_Figure_S1.pdf","47384","E500905C1763363189D08392777D242EEECA287B5D24B3981723ECFA531623E0"
"ESIN_Supplementary_Figure_S2.pdf","48439","1A186A1AED84EE599CDA70C0215833AEC7FA8DB43066126EEEF63148AE128525"
"ESIN_Supplementary_Figure_S3.pdf","50125","78A77968C4773A5A2DBB3D0FBB5A86790AA509121744807DB6AF6C71D07B9BEB"
"ESIN_Figure_mechanism_source_data.csv","376","DE9FD35F9BEEBD4D2A426E2B2C8922994FBAFBC6138D199C8788C452C7F30604"
"ESIN_Figure_1_source_data.csv","317","9873914B27CD9158434622618102B2939204F4155C341879418517E90E90EC80"
"ESIN_Figure_2_source_data.csv","125","DF753E7EF9373324FD7EB2290BF99ABD1E17E499277E792A1896A025AED9AC1E"
"ESIN_Figure_3_source_data.csv","16840","A6A7AF8F3BE2E2C5C5B67A1035C367AEDB166EEEF480E3A74F96DD8EAF926731"
"ESIN_Figure_4_source_data.csv","147","19E2043C983B65947F52C5B1EF522231A92F31E989B6ED046EA4ED08FF988796"
"ESIN_Figure_5_source_data.csv","1512","685BA87753BAAD7F6A5FDABB47BCC93376213B4324AAB54D993D536434A3808A"
"ESIN_Figure_9_source_data.csv","351","5671526EB46289A39CAED44475BF65E0D77CD10754D0FB7D4592F9BB8A1E4109"
"ESIN_Figure_10_source_data.csv","1210","EF086D971B4047B93DAEBC073C6CB11C13B3271F7930A9484E4220822C8B61C3"
"ESIN_Figure_11_source_data.csv","1803","18A1F0F822F296DB16D9AC04A84458A115DEFB56E146F0A82B0780FDAF2290C3"
"ESIN_Supplementary_Figure_S3_source_data.csv","1258","76F4F911A50B005C81A0D3C1EA041D1D7AA292D2CBE12CD71A7820CAA28DA734"
"external_control_synthesis_v1.csv","1355","2BC86EEB744C93FC5F2051BE28406E3DE1533AA90AAF522E4E8F9FB8F80F4CB7"
"regional_non_egms_strengthening_v1.csv","1849","689B79B18B84A9DC9FE8DD58188B8384A9F70457A86C68A3281508F7D3A508DE"
"Q1_STYLE_EXPERIMENT_STRENGTHENING_20260719.csv","3140","C407135600F12FC882385C22142C960CB4891160E480F4B64B103F983450D558"
